frequency (Hz),fase_4700,fase_2200,fase_1000,fase_470,fase_queda_tensao_capacitor,fase_queda_tensao_indutor
10.0,86.7600097656,74.9549484253,79.0813827515,104.7422943115,0.1803607196,-105.6728515625
16.237767391887218,83.9765853882,88.8888702393,87.2510070801,-98.5071716309,-0.9350649118,101.6585006714
26.366508987303583,79.3670883179,85.7323455811,89.1089096069,89.6202468872,-1.1392405033,176.8773498535
42.81332398719393,73.4190216064,82.9109573364,84.8219146729,87.5342483521,-2.4657533169,124.6153793335
69.51927961775606,64.0444717407,78.0000152588,83.4545516968,86.4300613403,-3.5024323463,-71.779006958
112.88378916846884,51.1963882446,69.8871307373,79.9498138428,85.8305130005,-4.875846386,-10.7268600464
183.29807108324357,36.4222946167,58.6353607178,72.9000015259,82.8739089966,-7.6539587975,-24.8294124603
297.63514416313194,25.2857151031,45.4285697937,61.7427406311,77.5714263916,-12.428571701,163.4803314209
483.2930238571752,15.652173996,31.652173996,48.2474212646,71.0251464844,-19.4782619476,157.9130401611
784.7599703514607,9.882352829,18.9324951172,31.4828910828,58.210357666,-31.9560089111,147.5039215088
1274.2749857031336,4.5859875679,8.4840764999,14.0820198059,38.5222930908,-50.904460907,127.6530532837
2069.13808111479,-0.0,2.3880598545,-3.0125522614,10.8684854507,-79.3371963501,100.049621582
3359.818286283781,-1.6958277225,-5.4527096748,-20.2948818207,-22.0161304474,-111.8493652344,67.6056365967
5455.594781168515,-6.6703000069,-13.3770494461,-37.3352546692,-47.6065597534,-136.7685546875,41.2663764954
8858.667904100823,-10.363152504,-23.5961017609,-53.6992874146,-63.4543838501,-154.0124053955,25.509311676
14384.498882876629,-19.2413787842,-37.0984458923,-66.6455688477,-74.1541976929,-164.361328125,15.3279628754
23357.21469090121,-30.126241684,-51.8615379333,-76.2631607056,-80.074760437,51.834941864,9.7661371231
37926.90190732246,-47.1818199158,-65.7771072388,-83.4385223389,-84.7539749146,-3.0786774158,4.9240121841
61584.82110660255,-65.0922546387,-78.0295639038,-87.9637908936,-86.4532089233,-159.4423828125,2.8853268623
100000.0,-86.673324585,-87.8399963379,-92.1582717896,-85.5944061279,176.0360412598,0.9004502296
