frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,2.47402668,0.0479534045,74.9549484253,0.0003756904314143604,-34.251698659876205
16.237767391887218,3.7351872921,0.1933284104,88.8888702393,0.002678962247044993,-25.72033406591703
26.366508987303583,3.9095811844,0.331638217,85.7323455811,0.007195627474028537,-21.429313286730153
42.81332398719393,3.9685468674,0.5398963094,82.9109573364,0.018507923271375733,-17.326423096307096
69.51927961775606,4.0054826736,0.8704537749,78.0000152588,0.04722605962956922,-13.258182888616716
112.88378916846884,3.9930062294,1.3836134672,69.8871307373,0.12006863836402643,-9.205704144461496
183.29807108324357,4.005443573,2.0435061455,58.6353607178,0.2602859106832497,-5.845493396822522
297.63514416313194,3.9681663513,2.7847714424,45.4285697937,0.4924922186413691,-3.076006269487292
483.2930238571752,3.9559557438,3.3387033939,31.652173996,0.7122834087423762,-1.4734717158348378
784.7599703514607,3.9436304569,3.6982591152,18.9324951172,0.8794319682278101,-0.5579775139246754
1274.2749857031336,3.9314978123,3.8234333992,8.4840764999,0.9457818652852142,-0.2420901753783554
2069.13808111479,3.9671871662,3.9528388977,2.3880598545,0.9927796088509905,-0.03147151588335592
3359.818286283781,3.9793920517,3.9160511494,-5.4527096748,0.9684188963547183,-0.1393674494022222
5455.594781168515,3.9916350842,3.8317029476,-13.3770494461,0.9214717042087495,-0.35517996196046797
8858.667904100823,4.0042247772,3.6312737465,-23.5961017609,0.8223961761479872,-0.8491891766019242
14384.498882876629,4.0160832405,3.2178673744,-37.0984458923,0.6419938526266455,-1.9246913047181358
23357.21469090121,4.0284414291,2.5223619938,-51.8615379333,0.3920493341558886,-4.06659279399043
37926.90190732246,4.0160446167,1.7763544321,-65.7771072388,0.19564204322576373,-7.085378101881056
61584.82110660255,4.0036864281,1.1082686186,-78.0295639038,0.07662490699859391,-11.156300395863767
100000.0,4.0406460762,0.6048366427,-87.8399963379,0.022406527932216938,-16.49625435598068
