frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3695101738,3.2765407562,0.1803607196,0.9455785346506338,-0.2430239516480009
16.237767391887218,3.7323806286,3.6671099663,-0.9350649118,0.9653304672549841,-0.1532398661844084
26.366508987303583,3.9276154041,3.8601877689,-1.1392405033,0.9659595740403983,-0.15041048676179503
42.81332398719393,3.9880428314,3.9189913273,-2.4657533169,0.9656705275166336,-0.1517102315847826
69.51927961775606,3.999710083,3.9797310829,-3.5024323463,0.990034727010609,-0.04349571579652635
112.88378916846884,4.0120172501,3.9426944256,-4.875846386,0.9657409663162131,-0.15139345618937367
183.29807108324357,4.0243592262,3.9796919823,-7.6539587975,0.9779247549013884,-0.09694560128848193
297.63514416313194,3.9872100353,3.9429569244,-12.428571701,0.9779256507429575,-0.09694162287531728
483.2930238571752,3.9749419689,3.8822975159,-19.4782619476,0.9539289801041254,-0.20483957263414743
784.7599703514607,3.9134857655,3.727004528,-31.9560089111,0.9069687505301698,-0.42407676232196345
1274.2749857031336,3.7816259861,3.3051044941,-50.904460907,0.763859074086356,-1.1698675790607778
2069.13808111479,3.7001781464,2.5108070374,-79.3371963501,0.4604488650378076,-3.368185931869947
3359.818286283781,3.7351937294,1.483304739,-111.8493652344,0.15770102091039323,-8.021654951662452
5455.594781168515,3.8833153248,0.6848333478,-136.7685546875,0.031100293445668514,-15.072355131843091
8858.667904100823,3.9908542633,0.2836741507,-154.0124053955,0.005052517067894078,-22.964922107211798
14384.498882876629,2.3410964012,0.0317392014,-164.361328125,0.00018380333856747062,-37.356466044392334
23357.21469090121,0.7528691888,0.0169200022,51.834941864,0.0005050818730854913,-32.966382176294246
37926.90190732246,3.7737648487,0.0089680003,-3.0786774158,5.6473090926247305e-06,-52.48158441491442
61584.82110660255,2.9426417351,0.0050976002,-159.4423828125,3.000936196345848e-06,-55.22743238120463
100000.0,4.051404953,0.0051575997,176.0360412598,1.6206303002792884e-06,-57.90316045522033
