frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,2.5094664097,0.0035999999,-105.6728515625,2.057984993987664e-06,-56.86557796265575
16.237767391887218,3.7181067467,0.00184,101.6585006714,2.449017777161696e-07,-66.11008062366014
26.366508987303583,3.9178080559,0.0021599999,176.8773498535,3.039633010201604e-07,-65.1717884772856
42.81332398719393,4.002641201,0.0021600001,124.6153793335,2.9121532093273177e-07,-65.35785780384032
69.51927961775606,2.0695121288,0.00232,-71.779006958,1.2567243146907612e-06,-59.007599822503245
112.88378916846884,3.2263674736,0.0034756802,-10.7268600464,1.1605182067766556e-06,-59.35348041730589
183.29807108324357,3.2709231377,0.0059284801,-24.8294124603,3.2850807929373147e-06,-54.83453944979277
297.63514416313194,3.2809867859,0.0275862403,163.4803314209,7.06929438692344e-05,-41.50623932618753
483.2930238571752,3.9648697376,0.1557504088,157.9130401611,0.0015431229965641878,-28.115994565679344
784.7599703514607,3.9035716057,0.3919872046,147.5039215088,0.010083689889378059,-19.963805189458903
1274.2749857031336,3.7720432281,0.9102732539,127.6530532837,0.05823582632713663,-12.348097578029439
2069.13808111479,3.6907961369,1.841968894,100.049621582,0.2490717481472468,-6.036755310728507
3359.818286283781,3.7243008614,2.8731272221,67.6056365967,0.5951414503386294,-2.253798009930836
5455.594781168515,3.8718409538,3.5273168087,41.2663764954,0.8299537994538856,-0.8094608256451805
8858.667904100823,3.9801087379,3.8181951046,25.509311676,0.9202935078958737,-0.36073641642835025
14384.498882876629,4.0413441658,3.9474241734,15.3279628754,0.9540605065490526,-0.20424081451995144
23357.21469090121,4.0537791252,3.9838590622,9.7661371231,0.9658012604581032,-0.1511223214167603
37926.90190732246,4.0163583755,3.9964256287,4.9240121841,0.9900988492951782,-0.043214442303683286
61584.82110660255,4.0287165642,4.0074996948,2.8853268623,0.989494916951239,-0.045864324284775056
100000.0,4.0411133766,4.0198316574,0.9004502296,0.9894951320327093,-0.04586338028108227
