frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3528056145,0.2336896062,86.7600097656,0.0048580507042694,-23.135379567047266
16.237767391887218,3.7391223907,0.4206860065,83.9765853882,0.012658340402455856,-18.97623229650536
26.366508987303583,3.9117002487,0.710471034,79.3670883179,0.032988427762304574,-14.816383825579196
42.81332398719393,3.9706981182,1.136734724,73.4190216064,0.08195670944987858,-10.864154867819238
69.51927961775606,4.0076532364,1.7583137751,64.0444717407,0.19249191051841721,-7.155875170179916
112.88378916846884,3.9953217506,2.4886987209,51.1963882446,0.38800840200259673,-4.111588700144088
183.29807108324357,4.0076146126,3.1538906097,36.4222946167,0.6193289043995069,-2.080786507698958
297.63514416313194,3.9951314926,3.5785799026,25.2857151031,0.8023415467476458,-0.9564071863376098
483.2930238571752,3.982534647,3.7877869606,15.652173996,0.9045903778818849,-0.435480361512616
784.7599703514607,3.9704341888,3.8918144703,9.882352829,0.9607895112329708,-0.17371746694354012
1274.2749857031336,3.9826505184,3.9277367592,4.5859875679,0.9726136266397146,-0.12059650115385781
2069.13808111479,4.0194163322,3.9633922577,-0.0,0.9723175565685159,-0.12191872376287988
3359.818286283781,4.0067391396,3.9755840302,-1.6958277225,0.9845091071393307,-0.06780262093599276
5455.594781168515,4.0190653801,3.9633536339,-6.6703000069,0.9724684191053202,-0.12124493478855583
8858.667904100823,4.0314307213,3.9267706871,-10.363152504,0.9487519439263622,-0.22847321256539713
14384.498882876629,4.0177884102,3.8183295727,-19.2413787842,0.90317664516349,-0.44227301162540417
23357.21469090121,4.0058970451,3.5501651764,-30.126241684,0.785412036580912,-1.0490244737344974
37926.90190732246,4.0186877251,3.0367536545,-47.1818199158,0.5710190601709614,-2.4334939510105373
61584.82110660255,3.9806647301,2.2519872189,-65.0922546387,0.32005207044268214,-4.947793589730384
100000.0,4.0186495781,1.3358607292,-86.673324585,0.11049995220490628,-9.566379098263814
